"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"72468",2630,"511","",3,"","",""
"68292",2630,"ID-3","",3,"","",""
"67777",134,"533","",3,"","",""
"66903",134,"522","",3,"","",""
"61767",134,"452","",3,"","",""
"55324",134,"7085","",3,"","",""
"55323",134,"7018","",3,"","",""
"55322",134,"7000","",3,"","",""
"53674",134,"71","",3,"","",""
"53673",134,"6","",3,"","",""
"53672",134,"5","",3,"","",""
"53671",134,"4","",3,"","",""
"53670",134,"3","",3,"","",""
"53669",134,"2","",3,"","",""
"53668",134,"1","",3,"","",""
"53654",134,"7089","",3,"","",""
"53653",134,"7088","",3,"","",""
"53652",134,"7087","",3,"","",""
"53651",134,"7086","",3,"","",""
"53650",134,"7083","",3,"","",""
"53649",134,"7082","",3,"","",""
"53648",134,"7081","",3,"","",""
"53647",134,"7080","",3,"","",""
"53646",134,"7078","",3,"","",""
"53645",134,"7077","",3,"","",""
"53644",134,"7076","",3,"","",""
"53643",134,"7075","",3,"","",""
"53642",134,"7071","",3,"","",""
"53641",134,"7070","",3,"","",""
"53640",134,"7065","",3,"","",""
"53639",134,"7064","",3,"","",""
"53638",134,"7062","",3,"","",""
"53637",134,"7061","",3,"","",""
"53636",134,"7060","",3,"","",""
"53635",134,"7059","",3,"","",""
"53634",134,"7056","",3,"","",""
"53633",134,"7055","",3,"","",""
"53632",134,"7050","",3,"","",""
"53631",134,"7046","",3,"","",""
"53630",134,"7045","",3,"","",""
"53629",134,"7041","",3,"","",""
"53628",134,"7040","",3,"","",""
"53627",134,"7037","",3,"","",""
"53626",134,"7036","",3,"","",""
"53625",134,"7030","",3,"","",""
"53624",134,"7027","",3,"","",""
"53623",134,"7026","",3,"","",""
"53622",134,"7020","",3,"","",""
"53621",134,"7019","",3,"","",""
"53620",134,"7017","",3,"","",""
"53619",134,"7016","",3,"","",""
"53618",134,"7010","",3,"","",""
"51001",134,"526","",3,"","",""
"51000",134,"660","",3,"","",""
"50999",134,"658","",3,"","",""
"50998",134,"656","",3,"","",""
"46539",2630,"401","",3,"","",""
"44375",2630,"GTI","",3,"","",""
"44374",2630,"Touran","",3,"","",""
"44373",2630,"Tiguan","",3,"","",""
"44372",2630,"Golf","",3,"","",""
"35270",134,"543","",3,"","",""
"35269",134,"542","",3,"","",""
"35268",134,"540","",3,"","",""
"35267",134,"530","",3,"","",""
"35266",134,"525","",3,"","",""
"35265",134,"524","",3,"","",""
"35264",134,"521","",3,"","",""
"35263",134,"520","",3,"","",""
"35260",134,"509","",3,"","",""
"35259",134,"502","",3,"","",""
"35258",134,"501","",3,"","",""
"35257",134,"472","",3,"","",""
"35256",134,"471","",3,"","",""
"35255",134,"470","",3,"","",""
"35248",134,"457","",3,"","",""
"35247",134,"454","",3,"","",""
"35246",134,"453","",3,"","",""
"35245",134,"451","",3,"","",""
"35244",134,"450","",3,"","",""
"35222",134,"225","",3,"","",""
"35221",134,"223","",3,"","",""
"35220",134,"222","",3,"","",""
"35219",134,"221","",3,"","",""
"35218",134,"220","",3,"","",""
"35212",134,"186","",3,"","",""
"35211",134,"185","",3,"","",""
"35210",134,"184","",3,"","",""
"35209",134,"182","",3,"","",""
"35208",134,"181","",3,"","",""
"35207",134,"180","",3,"","",""
"35206",134,"173","",3,"","",""
"35205",134,"172","",3,"","",""
"35204",134,"171","",3,"","",""
"35203",134,"170","",3,"","",""
"35202",134,"163","",3,"","",""
"35201",134,"162","",3,"","",""
"35200",134,"161","",3,"","",""
"35197",134,"155","",3,"","",""
"35196",134,"154","",3,"","",""
"35195",134,"150","",3,"","",""
"35194",134,"141","",3,"","",""
"35193",134,"140","",3,"","",""
"35192",134,"134","",3,"","",""
"35191",134,"131","",3,"","",""
"35190",134,"130","",3,"","",""
"35183",134,"531","",3,"","",""
"35182",134,"528","",3,"","",""
"35181",134,"523","",3,"","",""
"35178",2630,"506","",3,"","",""
"35177",2630,"502","",3,"","",""
"35176",2630,"652","",3,"","",""
"35175",2630,"651","",3,"","",""
"35174",2630,"650","",3,"","",""
"35173",2630,"602","",3,"","",""
"35172",2630,"600","",3,"","",""
"35170",2630,"554","",3,"","",""
"35169",2630,"553","",3,"","",""
"35168",2630,"520","",3,"","",""
"35166",2630,"450","",3,"","",""
"13586",134,"105","",3,"","",""
